Timestamp,n-unique-addresses
2019-04-21 00:00:00,426630
2019-04-22 00:00:00,498668
2019-04-23 00:00:00,548492
2019-04-24 00:00:00,645489
2019-04-25 00:00:00,577184
2019-04-26 00:00:00,593570
2019-04-27 00:00:00,460846
2019-04-28 00:00:00,445722
2019-04-29 00:00:00,573010
2019-04-30 00:00:00,604307
2019-05-01 00:00:00,565408
2019-05-02 00:00:00,584864
2019-05-03 00:00:00,615404
2019-05-04 00:00:00,508298
2019-05-05 00:00:00,460613
2019-05-06 00:00:00,573048
2019-05-07 00:00:00,578857
2019-05-08 00:00:00,635596
2019-05-09 00:00:00,619054
2019-05-10 00:00:00,618182
2019-05-11 00:00:00,573741
2019-05-12 00:00:00,551654
2019-05-13 00:00:00,648734
2019-05-14 00:00:00,669376
2019-05-15 00:00:00,675925
2019-05-16 00:00:00,682196
2019-05-17 00:00:00,676115
2019-05-18 00:00:00,588499
2019-05-19 00:00:00,516859
2019-05-20 00:00:00,617241
2019-05-21 00:00:00,657474
2019-05-22 00:00:00,646106
2019-05-23 00:00:00,630228
2019-05-24 00:00:00,644200
2019-05-25 00:00:00,511153
2019-05-26 00:00:00,476819
2019-05-27 00:00:00,644814
2019-05-28 00:00:00,685040
2019-05-29 00:00:00,680323
2019-05-30 00:00:00,642352
2019-05-31 00:00:00,598627
2019-06-01 00:00:00,578368
2019-06-02 00:00:00,489569
2019-06-03 00:00:00,550346
2019-06-04 00:00:00,687738
2019-06-05 00:00:00,631420
2019-06-06 00:00:00,602273
2019-06-07 00:00:00,619327
2019-06-08 00:00:00,471819
2019-06-09 00:00:00,438208
2019-06-10 00:00:00,607094
2019-06-11 00:00:00,623398
2019-06-12 00:00:00,601949
2019-06-13 00:00:00,667841
2019-06-14 00:00:00,731367
2019-06-15 00:00:00,601012
2019-06-16 00:00:00,520293
2019-06-17 00:00:00,628484
2019-06-18 00:00:00,696937
2019-06-19 00:00:00,664204
2019-06-20 00:00:00,635532
2019-06-21 00:00:00,654639
2019-06-22 00:00:00,643642
2019-06-23 00:00:00,596158
2019-06-24 00:00:00,659329
2019-06-25 00:00:00,682866
2019-06-26 00:00:00,768792
2019-06-27 00:00:00,694016
2019-06-28 00:00:00,729817
2019-06-29 00:00:00,573175
2019-06-30 00:00:00,497075
2019-07-01 00:00:00,624927
2019-07-02 00:00:00,671396
2019-07-03 00:00:00,651074
2019-07-04 00:00:00,603018
2019-07-05 00:00:00,617685
2019-07-06 00:00:00,523872
2019-07-07 00:00:00,447034
2019-07-08 00:00:00,622449
2019-07-09 00:00:00,623107
2019-07-10 00:00:00,616784
2019-07-11 00:00:00,598394
2019-07-12 00:00:00,637928
2019-07-13 00:00:00,472491
2019-07-14 00:00:00,437636
2019-07-15 00:00:00,585913
2019-07-16 00:00:00,595749
2019-07-17 00:00:00,569185
2019-07-18 00:00:00,588257
2019-07-19 00:00:00,566404
2019-07-20 00:00:00,488968
2019-07-21 00:00:00,400500
2019-07-22 00:00:00,533399
2019-07-23 00:00:00,531460
2019-07-24 00:00:00,490408
2019-07-25 00:00:00,568629
2019-07-26 00:00:00,563023
2019-07-27 00:00:00,445312
2019-07-28 00:00:00,391947
2019-07-29 00:00:00,521007
2019-07-30 00:00:00,548807
2019-07-31 00:00:00,573802
2019-08-01 00:00:00,558918
2019-08-02 00:00:00,581154
2019-08-03 00:00:00,470981
2019-08-04 00:00:00,421536
2019-08-05 00:00:00,583599
2019-08-06 00:00:00,617620
2019-08-07 00:00:00,545941
2019-08-08 00:00:00,568245
2019-08-09 00:00:00,562840
2019-08-10 00:00:00,453016
2019-08-11 00:00:00,414832
2019-08-12 00:00:00,459560
2019-08-13 00:00:00,566410
2019-08-14 00:00:00,554189
2019-08-15 00:00:00,538837
2019-08-16 00:00:00,533245
2019-08-17 00:00:00,441149
2019-08-18 00:00:00,407213
2019-08-19 00:00:00,517545
2019-08-20 00:00:00,558999
2019-08-21 00:00:00,599152
2019-08-22 00:00:00,609067
2019-08-23 00:00:00,564675
2019-08-24 00:00:00,452008
2019-08-25 00:00:00,393555
2019-08-26 00:00:00,539168
2019-08-27 00:00:00,535379
2019-08-28 00:00:00,526015
2019-08-29 00:00:00,545362
2019-08-30 00:00:00,543570
2019-08-31 00:00:00,464447
2019-09-01 00:00:00,423910
2019-09-02 00:00:00,529944
2019-09-03 00:00:00,595785
2019-09-04 00:00:00,544449
2019-09-05 00:00:00,550315
2019-09-06 00:00:00,601748
2019-09-07 00:00:00,472297
2019-09-08 00:00:00,436798
2019-09-09 00:00:00,536567
2019-09-10 00:00:00,564563
2019-09-11 00:00:00,556853
2019-09-12 00:00:00,564060
2019-09-13 00:00:00,546950
2019-09-14 00:00:00,491282
2019-09-15 00:00:00,422886
2019-09-16 00:00:00,562077
2019-09-17 00:00:00,567927
2019-09-18 00:00:00,578686
2019-09-19 00:00:00,552276
2019-09-20 00:00:00,557003
2019-09-21 00:00:00,493311
2019-09-22 00:00:00,456990
2019-09-23 00:00:00,544681
2019-09-24 00:00:00,596954
2019-09-25 00:00:00,571599
2019-09-26 00:00:00,554702
2019-09-27 00:00:00,532292
2019-09-28 00:00:00,474974
2019-09-29 00:00:00,435119
2019-09-30 00:00:00,540376
2019-10-01 00:00:00,573854
2019-10-02 00:00:00,535484
2019-10-03 00:00:00,525476
2019-10-04 00:00:00,545609
2019-10-05 00:00:00,480438
2019-10-06 00:00:00,435006
2019-10-07 00:00:00,538987
2019-10-08 00:00:00,534935
2019-10-09 00:00:00,524494
2019-10-10 00:00:00,549668
2019-10-11 00:00:00,547368
2019-10-12 00:00:00,452069
2019-10-13 00:00:00,417760
2019-10-14 00:00:00,513254
2019-10-15 00:00:00,533673
2019-10-16 00:00:00,545056
2019-10-17 00:00:00,528543
2019-10-18 00:00:00,518606
2019-10-19 00:00:00,486396
2019-10-20 00:00:00,437713
2019-10-21 00:00:00,545843
2019-10-22 00:00:00,541300
2019-10-23 00:00:00,544470
2019-10-24 00:00:00,515253
2019-10-25 00:00:00,570469
2019-10-26 00:00:00,541095
2019-10-27 00:00:00,438755
2019-10-28 00:00:00,540579
2019-10-29 00:00:00,527526
2019-10-30 00:00:00,536888
2019-10-31 00:00:00,504880
2019-11-01 00:00:00,563151
2019-11-02 00:00:00,472031
2019-11-03 00:00:00,465534
2019-11-03 23:00:00,549112
2019-11-04 23:00:00,576664
2019-11-05 23:00:00,559293
2019-11-06 23:00:00,553447
2019-11-07 23:00:00,541512
2019-11-08 23:00:00,519291
2019-11-09 23:00:00,435494
2019-11-10 23:00:00,511673
2019-11-11 23:00:00,501680
2019-11-12 23:00:00,555616
2019-11-13 23:00:00,535548
2019-11-14 23:00:00,575887
2019-11-15 23:00:00,495077
2019-11-16 23:00:00,430853
2019-11-17 23:00:00,510494
2019-11-18 23:00:00,561226
2019-11-19 23:00:00,525739
2019-11-20 23:00:00,584765
2019-11-21 23:00:00,607299
2019-11-22 23:00:00,514757
2019-11-23 23:00:00,436089
2019-11-24 23:00:00,495578
2019-11-25 23:00:00,576620
2019-11-26 23:00:00,566552
2019-11-27 23:00:00,533010
2019-11-28 23:00:00,543960
2019-11-29 23:00:00,493866
2019-11-30 23:00:00,468193
2019-12-01 23:00:00,552276
2019-12-02 23:00:00,565368
2019-12-03 23:00:00,569753
2019-12-04 23:00:00,535061
2019-12-05 23:00:00,534431
2019-12-06 23:00:00,465570
2019-12-07 23:00:00,434939
2019-12-08 23:00:00,538820
2019-12-09 23:00:00,548706
2019-12-10 23:00:00,521113
2019-12-11 23:00:00,531404
2019-12-12 23:00:00,547987
2019-12-13 23:00:00,475246
2019-12-14 23:00:00,434034
2019-12-15 23:00:00,549300
2019-12-16 23:00:00,557300
2019-12-17 23:00:00,560284
2019-12-18 23:00:00,539310
2019-12-20 23:00:00,479841
2019-12-21 23:00:00,432257
2019-12-22 23:00:00,518639
2019-12-23 23:00:00,493086
2019-12-24 23:00:00,401735
